Stadt,Jahr,Vegetationsindex NE,Vegetationsindex NW,Vegetationsindex SE,Vegetationsindex SW,Niederschlag [mm],Lufttemperatur [K],Temperatur [K],Taupunkttemperatur [K],Maximum Temperatur [K],Minimum Temperatur [K],Niederschlag [kg/m*m],Relative Luftfeuchtigkeit [%],Spezifische Luftfeuchtigkeit [g/kg],Temperatur [°C],Maximum Temperatur [°C],Minimum Temperatur [°C],Dengue Fälle
sj,1990-07-09,0.19,0.08,0.19,0.15,22.27,299.51,299.59,296.04,301.8,298.0,43.72,81.47,17.42,27.56,31.7,21.7,8
sj,1990-07-16,0.29,0.21,0.3,0.28,59.17,299.67,299.75,296.33,302.0,297.3,40.9,82.14,17.74,28.13,32.8,23.9,2
sj,1990-07-23,0.15,0.17,0.23,0.21,16.48,299.56,299.64,295.96,301.8,297.1,42.53,80.74,17.34,28.11,31.7,22.8,6
sj,1990-07-30,0.14218700475435816,0.25,0.38,0.38,32.66,299.86,299.95,296.17,303.0,298.3,34.6,80.58,17.59,28.24,34.4,22.8,17
sj,1990-08-06,0.14218700475435816,0.06,0.16,0.14,28.8,300.39,300.48,296.53,302.5,298.8,20.0,79.65,17.95,28.2,33.3,23.3,23
sj,1990-08-13,0.14218700475435816,0.13,0.21,0.17,90.75,299.96,299.96,297.04,302.6,298.5,101.9,84.18,18.52,28.04,32.8,22.8,13
sj,1990-08-20,0.19,0.17,0.17,0.17,32.4,300.33,300.41,296.73,302.5,298.1,25.9,80.95,18.17,28.34,33.3,23.3,21
sj,1990-08-27,0.25,0.33,0.26,0.28,40.94,300.12,300.22,297.02,302.2,298.7,39.8,83.35,18.52,28.66,32.2,24.4,28
sj,1990-09-03,0.24,0.2,0.28,0.23,28.86,300.53,300.64,296.12,303.8,298.0,30.4,77.17,17.56,28.33,32.8,23.3,24
sj,1990-09-10,0.13,0.44,0.12,0.15,64.56,300.67,300.79,297.19,302.9,299.0,24.18,81.55,18.78,28.69,33.9,24.4,20
sj,1990-09-17,0.2,0.18,0.25,0.31,143.73,299.86,299.9,296.43,301.7,298.7,36.6,81.64,17.89,28.24,32.8,23.9,40
sj,1990-09-24,0.12,0.26,0.2,0.24,51.39,300.43,300.6,296.03,302.4,299.1,16.4,77.05,17.47,28.34,32.8,24.4,27
sj,1990-10-01,0.23,0.19,0.21,0.2,31.18,300.78,300.85,296.66,303.3,299.1,36.1,78.52,18.18,28.77,33.3,23.9,42
sj,1990-10-08,0.17,0.07,0.18,0.16,51.42,299.86,299.94,296.93,301.8,298.1,132.4,84.11,18.51,28.63,33.3,24.4,33
sj,1990-10-15,0.14218700475435816,0.07,0.18,0.17,143.55,299.2,299.31,296.54,301.5,297.5,279.6,85.62,18.12,27.63,32.8,23.3,43
sj,1990-10-22,0.15,0.09,0.13,0.12,127.03,298.9,299.04,296.26,300.9,297.2,94.52,85.5,17.75,26.77,32.2,21.7,37
sj,1990-10-29,0.25,0.18,0.32,0.3,101.35,299.73,299.78,296.53,301.4,298.5,22.26,82.79,18.03,27.97,33.3,22.8,57
sj,1990-11-05,0.15,0.18,0.18,0.19,20.46,299.97,300.04,296.56,302.2,298.5,14.4,81.72,18.07,28.47,33.3,23.9,71
sj,1990-11-12,0.29,0.22,0.18,0.23,20.0,300.35,300.5,295.69,302.3,298.8,7.1,75.73,17.09,27.54,32.8,22.2,44
sj,1990-11-19,0.27,0.33,0.13,0.13,20.04,299.51,299.64,295.38,301.6,297.0,36.7,78.15,16.75,26.8,31.7,22.2,56
sj,1990-11-26,0.14,0.22,0.18,0.14,33.61,298.24,298.26,294.81,300.2,296.5,44.3,81.39,16.21,26.2,31.1,20.6,53
sj,1990-12-03,0.11,0.09,0.27,0.25,9.96,298.54,298.69,294.78,300.8,296.7,71.8,79.91,16.16,25.99,29.4,22.2,52
sj,1990-12-10,0.12,0.26,0.19,0.21,0.0,298.2,298.28,292.0,300.6,296.1,4.1,68.72,13.62,24.69,29.4,19.4,47
sj,1990-12-17,0.29,0.27,0.26,0.3,52.45,298.3,298.38,294.56,300.9,296.0,32.31,80.08,15.95,25.71,30.6,21.1,26
sj,1990-12-24,0.3,0.28,0.17,0.16,0.0,298.04,298.09,292.11,299.8,295.3,5.46,69.68,13.68,25.16,28.9,21.1,27
sj,1991-01-07,0.15,0.14,0.15,0.17,0.0,297.06,297.14,291.91,299.0,293.9,4.8,72.94,13.51,24.39,29.4,18.9,21
sj,1991-01-14,0.14218700475435816,0.1,0.25,0.14,15.85,297.67,297.83,293.28,299.3,295.8,26.33,76.63,14.67,24.91,28.3,21.1,21
sj,1991-01-21,0.14218700475435816,0.29,0.26,0.22,0.0,297.42,297.66,293.41,299.3,296.1,27.4,78.5,14.8,25.24,29.4,21.1,26
sj,1991-01-28,0.33,0.31,0.22,0.2,0.0,297.88,298.15,292.38,300.3,296.0,0.7,71.6,13.88,24.71,29.4,18.3,34
sj,1991-02-04,0.09,0.25,0.24,0.2,0.0,298.04,298.23,292.57,300.1,295.0,5.7,71.78,14.04,24.83,30.0,18.9,37
sj,1991-02-11,0.38,0.23,0.26,0.23,0.0,297.74,297.93,293.15,299.7,295.0,19.69,75.79,14.54,25.06,30.0,20.6,17
sj,1991-02-18,0.07,0.22,0.28,0.27,18.05,296.88,297.11,292.97,300.2,294.1,21.4,78.9,14.46,25.14,32.2,18.9,19
sj,1991-02-25,0.14218700475435816,0.21,0.11,0.12,0.0,297.41,297.61,293.63,300.1,295.8,26.2,79.74,15.04,25.84,32.2,20.0,25
sj,1991-03-04,0.17,0.21,0.14,0.19,31.79,297.51,297.83,293.41,299.8,295.8,23.8,77.98,14.79,25.26,30.6,20.0,18
sj,1991-03-11,0.21,0.26,0.25,0.22,0.0,297.78,298.08,293.53,300.3,296.4,8.3,77.32,14.92,26.01,31.1,20.6,21
sj,1991-03-18,0.14218700475435816,0.13057692307692306,0.21,0.24,0.0,297.43,297.64,293.34,300.1,295.7,13.37,78.14,14.79,25.93,31.7,20.6,17
sj,1991-03-25,0.13,0.18,0.15,0.16,0.0,297.41,297.61,293.25,300.4,295.4,11.1,77.88,14.75,26.09,32.2,21.1,17
sj,1991-04-01,0.28,0.22,0.25,0.25,0.0,297.47,297.69,293.74,301.0,295.7,21.26,80.0,15.15,26.06,32.2,22.2,16
sj,1991-04-08,0.17,0.22,0.26,0.22,12.92,297.06,297.19,292.48,299.4,295.4,20.9,75.66,13.99,25.24,28.9,20.6,16
sj,1991-04-15,0.18,0.28,0.18,0.18,6.0,297.37,297.66,293.62,299.2,295.9,19.78,79.63,14.99,25.3,28.9,21.1,15
sj,1991-04-22,0.08,0.1,0.16,0.21,44.57,297.28,297.39,292.17,298.9,296.0,21.9,73.35,13.73,25.51,29.4,21.1,23
sj,1991-04-29,0.14218700475435816,0.19,0.19,0.22,32.72,298.07,298.24,294.03,299.6,296.7,19.7,78.45,15.46,26.53,32.8,21.7,16
sj,1991-05-06,0.21,0.16,0.18,0.18,0.0,298.83,299.07,294.97,301.0,297.1,8.38,79.36,16.31,27.31,32.2,22.8,17
sj,1991-05-13,0.12,0.18,0.11,0.11,35.38,298.64,298.72,294.81,300.9,297.2,20.6,79.54,16.19,26.93,31.7,22.8,12
sj,1991-05-20,0.14218700475435816,0.1,0.15,0.1,4.16,298.33,298.41,294.62,300.1,296.6,35.37,80.07,15.97,26.53,30.6,22.8,17
sj,1991-05-27,0.07,0.13,0.1,0.14,51.16,298.58,298.46,295.12,300.4,297.0,59.3,81.3,16.5,27.39,31.7,22.8,10
sj,1991-06-03,0.14,0.16,0.21,0.26,55.37,298.81,298.89,295.27,301.1,297.3,43.4,81.09,16.65,27.94,33.3,23.3,15
sj,1991-06-10,0.09,0.09,0.12,0.17,8.08,299.52,299.75,294.93,301.6,297.4,5.0,76.07,16.32,28.07,33.3,23.3,19
sj,1991-06-17,0.11,0.16,0.17,0.17,6.09,299.89,300.07,295.49,301.8,298.4,5.82,77.04,16.88,28.23,33.9,23.9,21
sj,1991-06-24,0.06,0.09,0.13,0.13,44.25,299.78,299.97,296.3,301.9,298.4,17.0,81.42,17.7,28.93,33.9,25.0,14
sj,1991-07-01,0.08,0.12,0.19,0.16,73.76,299.41,299.48,296.23,302.5,297.7,37.8,82.75,17.63,27.91,32.8,22.8,18
sj,1991-07-08,0.14218700475435816,0.18,0.2,0.2,26.7,299.37,299.39,295.95,302.4,297.4,51.99,81.69,17.35,28.37,32.8,23.9,13
sj,1991-07-15,0.1,0.13057692307692306,0.14,0.17,6.13,300.0,300.17,295.79,302.1,297.9,18.7,77.88,17.15,28.41,32.8,24.4,14
sj,1991-07-22,0.14218700475435816,0.08,0.1,0.12,29.67,300.23,300.34,296.08,302.2,298.6,23.6,78.24,17.47,28.8,33.9,23.9,18
sj,1991-07-29,0.08,0.01,0.14,0.13,56.58,299.81,299.98,296.33,302.1,298.2,27.4,81.48,17.73,28.0,32.8,24.4,23
sj,1991-08-05,0.14218700475435816,0.13057692307692306,0.19,0.16,48.41,299.85,299.96,296.48,302.0,298.3,34.39,81.9,17.88,28.57,33.3,25.0,25
sj,1991-08-12,0.07,0.11,0.19,0.21,13.29,299.83,299.86,296.47,301.8,298.1,31.5,81.96,17.9,28.5,32.8,24.4,62
sj,1991-08-19,0.06,0.13057692307692306,0.16,0.16,0.0,300.42,300.65,296.48,302.8,298.7,20.4,79.2,17.91,29.43,33.3,25.6,60
sj,1991-08-26,0.06,0.1,0.13,0.14,51.88,300.31,300.39,296.58,302.6,298.3,25.47,80.26,18.01,29.27,34.4,24.4,76
sj,1991-09-02,0.07,0.06,0.23,0.19,55.2,300.12,300.2,296.67,302.3,298.6,23.8,81.59,18.09,28.16,32.2,23.9,66
sj,1991-09-09,0.11,0.09,0.14,0.16,65.9,300.11,300.15,296.8,302.3,298.4,42.33,82.31,18.26,28.94,34.4,24.4,64
sj,1991-09-16,0.1,0.16,0.11,0.14,33.56,300.54,300.64,296.45,302.8,298.7,11.4,78.63,17.9,28.97,33.9,23.3,68
sj,1991-09-23,0.11,0.15,0.17,0.17,29.53,300.53,300.6,296.9,303.0,298.8,28.8,80.88,18.4,28.91,33.3,24.4,89
sj,1991-09-30,0.17,0.15,0.17,0.22,73.55,300.06,300.05,296.59,302.4,298.2,77.5,81.42,18.04,28.14,32.8,24.4,92
sj,1991-10-07,0.13,0.17,0.18,0.2,31.68,299.65,299.69,296.4,301.6,298.3,60.0,82.49,17.85,27.74,32.8,23.3,140
sj,1991-10-14,0.09,0.09,0.15,0.17,32.1,299.56,299.67,295.89,302.0,297.6,55.1,80.52,17.34,27.66,31.7,22.8,116
sj,1991-10-21,0.01,0.13,0.11,0.11,3.29,299.9,299.92,296.02,302.0,298.1,31.19,79.38,17.43,28.54,33.9,24.4,142
sj,1991-10-28,0.19,0.12,0.18,0.2,50.24,299.89,299.99,295.46,302.0,298.0,12.6,76.78,16.85,27.83,32.8,23.3,129
sj,1991-11-04,0.09,0.1,0.13,0.12,72.61,299.91,299.99,295.92,302.4,298.1,26.83,78.99,17.38,28.11,32.8,24.4,140
sj,1991-11-11,0.05,0.05,0.11,0.12,42.92,299.09,299.28,295.57,302.6,297.3,74.83,81.06,16.97,27.19,32.2,22.8,140
sj,1991-11-18,0.1,0.11,0.19,0.2,78.73,298.69,298.79,295.62,301.0,297.4,72.7,83.51,17.06,26.66,31.1,22.2,127
sj,1991-11-25,0.01,0.03,0.14,0.18,0.0,298.7,298.71,294.03,300.8,297.1,15.1,75.55,15.46,26.31,30.0,22.2,129
sj,1991-12-02,0.09,0.15,0.18,0.17,35.34,298.38,298.5,294.94,301.1,296.9,78.43,81.49,16.32,26.27,30.0,22.2,169
sj,1991-12-09,0.08,0.14,0.13,0.13,0.0,298.64,298.84,294.97,300.5,297.7,35.1,80.28,16.34,26.73,30.6,23.3,141
sj,1991-12-16,-0.03,0.21,0.22,0.23,0.0,298.52,298.59,294.51,300.2,297.3,26.8,78.62,15.88,25.61,29.4,21.7,108
sj,1991-12-23,0.14218700475435816,0.05,0.11,0.04,0.0,298.08,298.14,292.87,299.6,296.6,8.76,72.86,14.34,25.0,28.9,20.6,78
sj,1991-12-30,0.12,0.12,0.14,0.13,0.0,296.52,296.51,292.05,299.2,294.3,19.3,76.13,13.64,24.36,28.3,19.4,70
sj,1992-01-06,0.13,0.16,0.19,0.18,45.760388080388076,298.70191562932223,299.22570539419087,295.2464107883817,303.42710926694326,295.7191562932227,40.151818810511756,82.16215076071923,16.746445366528356,27.18576786978061,32.452437325905294,22.10214979195562,81
sj,1992-01-13,0.1,0.07,0.14,0.11,200.85,297.91,298.12,294.46,300.4,296.1,18.3,81.3,15.88,25.66,30.6,20.6,104
sj,1992-01-20,0.22,0.23,0.2,0.2,3.12,297.34,297.49,294.47,300.2,295.6,19.8,84.12,15.83,25.47,31.1,21.7,90
sj,1992-01-27,0.12,0.13,0.19,0.17,0.0,297.09,297.34,293.02,299.5,295.6,5.11,78.29,14.48,24.86,30.6,20.0,85
sj,1992-02-03,0.14218700475435816,0.05,0.17,0.19,0.0,297.42,297.55,292.72,299.3,295.5,6.5,75.22,14.19,24.8,28.9,20.0,55
sj,1992-02-10,0.1,0.08,0.11,0.19,0.0,296.92,297.13,292.62,300.7,294.5,16.2,77.06,14.12,24.71,30.6,20.0,53
sj,1992-02-17,0.14218700475435816,0.13,0.2,0.18,45.760388080388076,297.8,298.06,294.65,300.2,295.3,20.1,82.88,16.06,26.03,32.2,20.0,65
sj,1992-02-24,0.14218700475435816,0.18,0.19,0.2,45.760388080388076,297.9,298.11,293.63,300.1,296.3,4.4,77.3,15.01,25.76,33.9,21.7,33
sj,1992-03-02,0.11,0.08,0.17,0.16,45.760388080388076,297.47,297.68,292.97,299.3,296.3,14.4,76.04,14.38,25.29,29.4,21.7,38
sj,1992-03-09,0.14218700475435816,0.18,0.19,0.19,0.0,297.65,297.8,293.32,299.8,295.7,5.5,76.88,14.7,25.66,31.1,20.6,59
sj,1992-03-16,0.09,0.09,0.13,0.16,23.22,297.63,297.79,293.54,299.6,296.1,12.6,78.06,14.94,25.79,31.7,21.7,40
sj,1992-03-23,0.05,0.08,0.14,0.13,0.0,297.95,298.15,293.71,300.4,295.5,3.56,77.51,15.14,26.1,31.1,21.7,37
sj,1992-03-30,0.14218700475435816,0.13057692307692306,0.13,0.11,0.0,297.22,297.43,293.58,300.3,295.8,21.0,80.24,14.97,26.2,32.2,22.2,29
sj,1992-04-06,0.1,0.08,0.19,0.18,122.27,297.98,298.07,293.88,300.2,296.0,16.2,78.07,15.26,26.23,31.1,21.7,30
sj,1992-04-13,0.1,0.13,0.12,0.12,43.21,298.68,298.88,294.2,301.6,295.9,11.1,76.38,15.61,26.99,32.8,21.7,30
sj,1992-04-20,0.08,0.1,0.16,0.17,83.11,297.83,298.0,294.94,300.4,296.6,70.6,84.18,16.32,26.81,31.7,22.8,28
sj,1992-04-27,0.09,0.11,0.15,0.15,36.16,298.09,298.26,294.05,300.6,296.5,25.8,78.43,15.45,26.67,31.7,22.2,23
sj,1992-05-04,0.01,0.06,0.07,0.09,0.0,298.2,298.52,293.4,302.1,295.6,4.0,74.93,14.9,27.37,33.9,23.3,24
sj,1992-05-11,0.11,0.22,0.18,0.21,13.92,298.34,298.44,294.22,302.1,296.0,45.0,78.48,15.75,26.79,33.9,22.2,29
sj,1992-05-18,0.1,-0.01,0.14,0.13,2.94,298.33,298.51,294.28,300.4,296.4,27.5,78.38,15.69,27.44,31.1,22.8,26
sj,1992-05-25,0.1,0.07,0.06,0.06,71.85,298.41,298.56,295.77,301.0,296.8,570.5,85.65,17.23,27.86,32.8,23.3,23
sj,1992-06-01,0.12,0.13057692307692306,0.22,0.21,186.25,298.62,298.75,296.33,301.4,297.0,130.3,87.3,17.83,27.43,31.7,23.9,20
sj,1992-06-08,0.12,0.14,0.11,0.1,42.24,299.1,299.23,296.52,301.0,297.8,50.0,85.83,18.0,27.5,31.7,22.8,19
sj,1992-06-15,0.08,0.09,0.1,0.11,43.21,298.9,298.96,296.15,300.5,297.6,43.8,84.87,17.57,28.2,32.8,24.4,20
sj,1992-06-22,0.1,0.15,0.18,0.19,52.07,298.93,298.96,296.04,301.0,297.0,37.1,84.25,17.44,28.29,32.8,24.4,26
sj,1992-06-29,0.13,0.13,0.14,0.11,52.96,299.57,299.55,296.38,301.8,298.0,33.7,82.78,17.81,28.49,32.8,23.9,29
sj,1992-07-06,0.12,0.14,0.17,0.17,10.74,300.18,300.38,296.28,301.8,298.3,10.0,79.33,17.67,29.23,33.3,25.6,31
sj,1992-07-13,0.14218700475435816,0.19,0.15,0.15,1.86,300.29,300.56,296.2,302.2,298.7,5.4,78.5,17.57,28.73,32.8,24.4,28
sj,1992-07-20,0.11,0.13,0.14,0.18,94.14,299.79,299.83,296.05,301.8,298.0,46.1,80.15,17.43,27.63,31.7,23.9,26
sj,1992-07-27,-0.14,0.06,0.14,0.13,33.51,299.23,299.37,295.88,301.1,298.0,69.04,81.98,17.25,27.56,31.7,23.3,32
sj,1992-08-03,0.05,0.13,0.13,0.15,31.12,299.03,299.11,295.75,300.8,297.7,58.8,82.35,17.11,27.97,32.2,22.8,35
sj,1992-08-10,0.15,0.17,0.15,0.15,59.22,299.76,299.91,296.16,301.5,297.6,27.1,80.78,17.55,28.07,31.7,23.3,33
sj,1992-08-17,0.16,0.13,0.22,0.22,65.55,299.22,299.22,296.01,301.3,297.8,81.8,82.75,17.42,27.67,31.7,22.8,30
sj,1992-08-24,0.11,0.14,0.19,0.19,68.22,299.49,299.74,296.21,301.9,298.3,61.6,82.32,17.6,28.21,33.9,24.4,52
sj,1992-08-31,0.09,0.08,0.18,0.22,27.7,300.07,300.16,296.06,302.2,298.1,28.9,78.86,17.46,28.27,32.2,23.9,59
sj,1992-09-07,0.14218700475435816,0.22,0.12,0.13,61.55,300.11,300.16,296.18,302.0,298.4,34.36,79.2,17.56,28.73,34.4,24.4,67
sj,1992-09-14,0.12,0.18,0.24,0.21,21.34,299.73,299.76,295.94,302.2,298.2,87.2,79.93,17.35,28.03,32.2,23.9,65
sj,1992-09-21,0.05,0.07,0.18,0.16,41.32,299.98,300.07,296.11,302.2,298.4,32.6,79.53,17.54,28.14,32.8,23.9,74
sj,1992-09-28,0.14,0.14,0.2,0.21,95.55,299.29,299.38,296.28,301.4,297.9,116.79,83.7,17.75,27.56,32.8,23.3,70
sj,1992-10-05,0.2,0.13,0.16,0.09,97.7,299.62,299.71,296.13,302.3,297.6,34.2,81.3,17.6,27.97,33.3,23.3,61
sj,1992-10-12,0.14,0.11,0.18,0.19,23.1,300.27,300.33,296.42,302.8,298.3,19.4,79.74,17.9,28.89,35.0,23.9,53
sj,1992-10-19,0.34,0.2,0.19,0.18,18.95,300.12,300.23,295.89,302.6,297.7,11.3,77.83,17.31,29.16,33.3,25.0,76
sj,1992-10-26,-0.02,0.03,0.1,0.11,12.18,299.85,299.91,295.65,301.6,298.4,21.5,77.88,17.04,28.66,32.8,23.9,61
sj,1992-11-02,0.12,0.13,0.12,0.11,80.58,299.8,299.84,295.81,302.3,297.0,25.0,78.91,17.25,28.67,33.3,23.9,57
sj,1992-11-09,0.09,0.12,0.22,0.25,64.0,299.81,299.85,296.27,301.5,298.5,27.7,81.05,17.73,28.39,33.3,22.2,44
sj,1992-11-16,0.12,0.14,0.09,0.07,40.06,299.04,299.21,295.07,300.9,297.4,31.72,79.01,16.48,27.54,31.7,22.8,34
sj,1992-11-23,0.08,0.06,0.13,0.06,43.44,298.34,298.29,294.65,300.6,296.6,49.97,80.26,16.07,26.69,31.1,22.2,47
sj,1992-11-30,0.1,0.1,0.16,0.12,47.42,298.66,298.74,296.04,301.1,296.9,128.1,85.59,17.53,27.4,32.8,23.3,60
sj,1992-12-07,0.11,0.07,0.18,0.15,53.73,298.46,298.55,295.25,300.6,297.0,54.8,82.65,16.68,26.63,31.1,22.2,60
sj,1992-12-14,0.05,0.11,0.2,0.22,86.28,298.73,298.91,294.65,300.5,297.5,19.23,78.31,16.02,26.91,31.1,22.2,53
sj,1992-12-21,0.14218700475435816,0.07,0.19,0.19,0.0,298.29,298.51,293.83,300.7,296.4,24.94,76.66,15.25,26.69,32.2,21.7,36
sj,1992-12-28,-0.01,0.07,0.09,0.07,0.0,297.17,297.35,292.8,299.1,296.1,23.8,76.76,14.32,25.91,29.4,21.7,31
sj,1993-01-04,0.03,0.04,0.08,0.05,46.79,297.47,297.55,294.15,299.4,296.1,41.9,81.88,15.52,25.87,30.6,21.7,32
sj,1993-01-11,0.03,0.04,0.13,0.11,0.0,297.33,297.34,293.07,299.2,296.2,27.5,77.14,14.47,24.5,28.3,20.6,28
sj,1993-01-18,0.14218700475435816,0.11,0.23,0.22,0.0,297.4,297.63,293.08,299.5,296.2,11.2,76.98,14.49,24.86,30.0,20.0,33
sj,1993-01-25,0.07,0.06,0.13,0.15,0.0,296.97,297.13,292.84,299.2,295.5,21.8,77.86,14.31,24.4,28.9,20.0,33
sj,1993-02-01,0.05,0.02,0.09,0.09,75.97,297.62,297.69,294.03,300.4,295.6,26.3,80.61,15.45,26.67,31.7,19.4,35
sj,1993-02-08,0.27,0.06,0.2,0.2,0.0,296.59,296.8,292.87,299.7,294.7,14.3,79.83,14.39,25.43,30.0,20.6,22
sj,1993-02-15,0.11,0.17,0.24,0.23,14.71,297.76,297.97,293.34,299.6,296.4,7.2,76.53,14.75,26.27,31.7,20.6,13
sj,1993-02-22,0.14218700475435816,0.13,0.27,0.26,0.0,296.77,296.87,292.3,300.1,294.6,21.5,76.22,13.83,25.7,32.2,20.6,13
sj,1993-03-01,0.17,0.13,0.16,0.14,0.0,297.01,297.24,291.91,299.7,295.2,1.8,73.23,13.49,25.57,30.0,21.1,21
sj,1993-03-08,0.09,0.21,0.2,0.25,0.0,296.43,296.64,290.78,298.9,294.1,2.7,70.65,12.58,24.9,29.4,19.4,17
sj,1993-03-15,-0.04,-0.04,0.17,0.17,9.68,297.86,298.01,293.69,300.4,295.5,10.5,77.78,15.06,26.93,33.3,21.1,11
sj,1993-03-22,0.03,0.1,0.19,0.2,27.0,297.59,297.67,293.22,299.8,296.3,13.0,76.85,14.65,26.14,31.1,20.6,8
sj,1993-03-29,0.12,0.09,0.14,0.12,0.0,297.34,297.44,293.81,299.4,295.7,20.27,80.8,15.2,26.89,32.8,22.2,8
sj,1993-04-05,0.14218700475435816,0.04,0.19,0.21,7.49,297.75,297.89,293.75,300.1,296.2,14.2,78.56,15.16,27.2,32.8,21.1,6
sj,1993-04-12,-0.02,0.02,0.07,0.08,19.74,298.01,298.0,294.07,300.1,295.9,23.2,78.96,15.5,27.07,33.3,22.2,6
sj,1993-04-19,0.08,0.08,0.13,0.13,114.85,297.53,297.74,294.07,300.1,294.5,63.49,81.27,15.49,25.87,31.1,21.7,7
sj,1993-04-26,0.14218700475435816,0.09,0.13,0.13,33.35,298.59,298.69,295.19,300.4,297.0,34.3,81.66,16.6,27.49,32.8,22.2,12
sj,1993-05-03,0.08,0.06,0.15,0.13,37.35,298.15,298.19,295.26,300.1,296.9,40.7,84.08,16.66,26.94,32.2,22.2,17
sj,1993-05-10,0.07,0.05,0.11,0.11,34.9,297.67,297.69,294.85,300.4,296.1,142.4,84.52,16.27,26.47,31.1,22.8,10
sj,1993-05-17,0.18,0.09,0.18,0.19,14.84,298.6,298.72,295.32,301.2,296.4,55.67,82.44,16.86,28.23,33.9,23.3,10
sj,1993-05-24,0.02,0.1,0.05,0.06,78.17,299.36,299.38,296.68,301.8,297.6,100.2,85.4,18.19,28.94,33.9,23.3,18
sj,1993-05-31,0.0,0.05,0.2,0.18,62.2,298.84,298.91,296.45,301.4,297.3,93.2,86.9,17.95,27.64,31.1,22.8,19
sj,1993-06-07,0.12,0.13057692307692306,0.15,0.15,8.48,300.66,300.74,296.98,302.8,298.5,20.2,80.62,18.49,29.9,34.4,25.0,12
sj,1993-06-14,0.14218700475435816,0.08,0.22,0.22,30.65,299.18,299.26,295.74,301.0,297.7,55.5,81.49,17.13,27.73,32.2,23.3,22
sj,1993-06-21,0.04,0.14,0.17,0.13,93.75,299.52,299.49,296.29,301.8,297.5,74.0,82.61,17.71,27.34,33.3,22.2,12
sj,1993-06-28,0.12,0.15,0.22,0.22,8.49,299.7,299.84,296.51,301.6,298.2,27.5,82.83,17.92,28.84,32.8,25.0,21
sj,1993-07-05,0.07,0.1,0.15,0.16,37.28,299.57,299.63,296.03,301.6,297.5,72.8,81.15,17.41,28.24,32.8,24.4,18
sj,1993-07-12,0.04,0.09,0.18,0.22,73.94,299.58,299.71,296.06,301.9,297.7,67.7,81.22,17.46,27.89,32.2,22.2,16
sj,1993-07-19,0.12,0.18,0.17,0.19,4.81,299.89,299.96,295.94,302.0,298.3,29.4,79.15,17.32,28.5,33.3,24.4,16
sj,1993-07-26,0.08,0.11,0.12,0.12,78.03,299.24,299.26,296.59,301.3,298.0,109.0,85.55,18.03,27.94,32.2,22.2,22
sj,1993-08-02,0.14218700475435816,0.15,0.25,0.26,12.38,300.06,300.26,296.86,302.0,298.3,12.6,82.88,18.33,29.03,32.8,24.4,17
sj,1993-08-09,0.1,0.14,0.22,0.17,7.25,300.12,300.35,296.56,302.0,298.7,21.8,81.01,17.99,29.03,32.8,25.0,25
sj,1993-08-16,0.1,0.05,0.2,0.16,106.83,299.67,299.77,296.51,302.3,297.8,62.7,83.08,17.95,29.41,33.9,24.4,23
sj,1993-08-23,0.11,0.25,0.21,0.22,1.36,299.92,299.99,296.49,302.1,297.9,26.9,81.73,17.92,28.97,33.3,24.4,12
sj,1993-08-30,0.1,0.16,0.16,0.15,30.85,299.98,300.04,296.11,302.0,298.5,34.4,79.63,17.53,28.66,32.8,24.4,25
sj,1993-09-06,0.11,0.07,0.06,0.05,43.26,299.76,299.86,296.13,302.6,298.2,42.1,80.68,17.56,28.43,32.8,23.3,28
